topic,term,relevance
1,이주희,2.688192409703181
1,황규인,2.688192409703181
1,한노,2.688192409703181
1,수살,2.688192409703181
1,북주,2.688192409703181
1,법심리학,2.688192409703181
1,피자헛,2.688192409703181
1,오직,2.688192409703181
1,지장보살,2.688192409703181
1,클렌,2.688192409703181
1,겐타,2.688192409703181
1,시게루,2.688192409703181
1,분관,2.688192409703181
1,엘론,2.688192409703181
1,고승덕,2.688192409703181
2,뉴슨,1.5493497019259217
2,반원,1.5493497019259217
2,초격,1.5493497019259217
2,견실,1.5493497019259217
2,철칙,1.5493497019259217
2,단안,1.5493497019259217
2,광적,1.5493497019259217
2,바인더,1.5493497019259217
2,대타협,1.5493497019259217
2,계미,1.5493497019259217
2,동바,1.5493497019259217
2,괘념,1.5493497019259217
2,갈리폴리,1.5493497019259217
2,무서움,1.5493497019259217
2,카토나,1.5493497019259217
3,극심한,2.033785571511644
3,거류,2.033785571511644
3,망후,2.033785571511644
3,空家,2.033785571511644
3,공가,2.033785571511644
3,김세용,2.033785571511644
3,예림,2.033785571511644
3,카테린,2.033785571511644
3,녹산,2.033785571511644
3,타미라,2.033785571511644
3,여상,2.033785571511644
3,촛농,2.033785571511644
3,카브,2.033785571511644
3,힐리,2.033785571511644
3,산품,2.033785571511644
4,누타,2.619466378748792
4,단짝,2.619466378748792
4,용석,2.619466378748792
4,노현,2.619466378748792
4,기후현,2.619466378748792
4,임순,2.619466378748792
4,불관,2.619466378748792
4,빔펠,2.619466378748792
4,청심환,2.619466378748792
4,게이드,2.619466378748792
4,의무병,2.619466378748792
4,지구본,2.619466378748792
4,정유진,2.619466378748792
4,묵상,2.619466378748792
4,요사이,2.619466378748792
5,계위,2.56677907675114
5,볼썽,2.56677907675114
5,김태운,2.56677907675114
5,타종,2.56677907675114
5,조규,2.56677907675114
5,反日,2.56677907675114
5,라인홀드,2.56677907675114
5,최재경,2.56677907675114
5,채연,2.56677907675114
5,블럭,2.56677907675114
5,송주,2.56677907675114
5,藩國,2.56677907675114
5,임성수,2.56677907675114
5,김경오,2.56677907675114
5,노체,2.56677907675114
6,픽쳐스,2.5549121422669225
6,조민,2.5549121422669225
6,강민경,2.5549121422669225
6,상대측,2.5549121422669225
6,바흐만,2.5549121422669225
6,퍼먼,2.5549121422669225
6,길레트,2.5549121422669225
6,비터,2.5549121422669225
6,힐리오,2.5549121422669225
6,루멘,2.5549121422669225
6,타이에,2.5549121422669225
6,만자문,2.5549121422669225
6,맥컬럼,2.5549121422669225
6,샬러츠빌,2.5549121422669225
6,만자,2.5549121422669225
7,권부,1.8975992536960704
7,상장주,1.8975992536960704
7,한상진,1.8975992536960704
7,보호선,1.8975992536960704
7,준혁,1.8975992536960704
7,김건,1.8975992536960704
7,보장자,1.8975992536960704
7,계령,1.8975992536960704
7,나후,1.8975992536960704
7,베그,1.8975992536960704
7,메코,1.8975992536960704
7,박정택,1.8975992536960704
7,관람대,1.8975992536960704
7,등뼈,1.8975992536960704
7,불출,1.8975992536960704
8,헤트,2.108606638461142
8,치진,2.108606638461142
8,화장터,2.108606638461142
8,파넬,2.108606638461142
8,곤이,2.108606638461142
8,탑승구,2.108606638461142
8,수출업자,2.108606638461142
8,터닝,2.108606638461142
8,두메,2.108606638461142
8,프라부,2.108606638461142
8,해단식,2.108606638461142
8,작품상,2.108606638461142
8,占領,2.108606638461142
8,기스트,2.108606638461142
8,노강,2.108606638461142
9,바꿔치기,2.2267890931331125
9,캅카스산맥,2.2267890931331125
9,워커,2.2267890931331125
9,의장대,2.2267890931331125
9,강연회,2.2267890931331125
9,투탄,2.2267890931331125
9,부동자세,2.2267890931331125
9,투장,2.2267890931331125
9,군문,2.2267890931331125
9,황준호,2.2267890931331125
9,김재명,2.2267890931331125
9,명색,2.2267890931331125
9,壽,2.2267890931331125
9,전해질,2.2267890931331125
9,도미니크,2.2267890931331125
10,초년생,2.269624746374144
10,협상장,2.269624746374144
10,생과,2.269624746374144
10,갈변,2.269624746374144
10,기영,2.269624746374144
10,비케이,2.269624746374144
10,아워홈,2.269624746374144
10,모스카토,2.269624746374144
10,레드와인,2.269624746374144
10,너리,2.269624746374144
10,급분,2.269624746374144
10,닝샤후이,2.269624746374144
10,이영환,2.269624746374144
10,박용준,2.269624746374144
10,이미향,2.269624746374144
11,신광호,1.9402133182422416
11,이정혁,1.9402133182422416
11,김혜숙,1.9402133182422416
11,김종찬,1.9402133182422416
11,무애,1.9402133182422416
11,논일,1.9402133182422416
11,흰수마자,1.9402133182422416
11,논물,1.9402133182422416
11,정영록,1.9402133182422416
11,보철,1.9402133182422416
11,박천석,1.9402133182422416
11,육묘,1.9402133182422416
11,소림,1.9402133182422416
11,박영득,1.9402133182422416
11,바스라,1.9402133182422416
12,반월,3.001994170271
12,알무데나,3.001994170271
12,정반,3.001994170271
12,리오니,3.001994170271
12,나폴리,3.001994170271
12,천막촌,3.001994170271
12,옥녀봉,3.001994170271
12,식물원,3.001994170271
12,강계,3.001994170271
12,다민족,3.001994170271
12,흑산도,3.001994170271
12,데시,3.001994170271
12,쉬즈,3.001994170271
